Base,Tail Number,Min Quantity,Max Quantity,Total
TEB4,N125TH,1201.0,999999.0,5.97435
TMB,"",1.0,500.0,5.58033
TMB,"",501.0,1200.0,5.50708
TMB,"",1201.0,999999.0,5.40167
TPA,"",1.0,300.0,5.39681
TPA,"",301.0,1200.0,5.38624
TPA,"",1201.0,999999.0,5.37569
TTN,"",1.0,500.0,6.51329
TTN,"",501.0,1200.0,6.45529
TTN,"",1201.0,999999.0,6.22129
TXK,"",1.0,300.0,6.9636
TXK,"",301.0,1200.0,6.79823
TXK,"",1201.0,999999.0,6.19185
TYS,"",1.0,300.0,6.94044
TYS,"",301.0,1200.0,6.52344
TYS,"",1201.0,999999.0,6.36706
UGN,"",1.0,500.0,6.64068
UGN,"",501.0,1200.0,6.57031
UGN,"",1201.0,999999.0,6.51078
VNY,"",1.0,500.0,5.82875
VNY,"",501.0,1200.0,5.7492
VNY,"",1201.0,999999.0,5.7192
