AIRPORT CODE,FBO,CITY,STATE,PHONE NUMBER,AVGAS QUANTITY,AVGAS PRICE PER UNIT,JET A WITH ADD QUANTITY,JET A WITH ADD PRICE PER UNIT,JET A QUANTITY,JET A PRICE PER UNIT,CN JET A QUANTITY,CN JET A PRICE PER UNIT,CN JET A WITH ADD QUANTITY,CN JET A WITH ADD PRICE PER UNIT,SAF QUANTITY,SAF PRICE PER UNIT,SAF WITH ADD QUANTITY,SAF WITH ADD PRICE PER UNIT,ICAO
CRQ,Western Aviation LLC,Carlsbad,CA,760-310-8051,,,All Quantities,$5.22 ,All Quantities,$4.95 ,,,,,,,,,KCRQ
CRX,Corinth-Alcorn County Airport,Corinth,MS,662-287-3223,,,1+,$4.29 ,1+,$4.29 ,,,,,,,,,KCRX
CSV,Azure Flight Support CSV,Crossville,TN,615-804-6740,,,1+,$4.69 ,1+,$4.69 ,1+,$0.00 ,,,1+,$0.00 ,,,KCSV
CTY,Dixie Aviation,Cross City,FL,352-498-6656,,,1+,$4.80 ,1+,$4.80 ,,,,,,,,,KCTY
CUB,Eagle Aviation CUB,Columbia,SC,803-771-7915,,, 1 - 199,$5.23 , 1 - 199,$5.23 ,1+,$0.15 ,,,1+,$0.15 ,,,KCUB
CUB,Eagle Aviation CUB,Columbia,SC,803-771-7915,,, 200 - 1000,$5.13 , 200 - 1000,$5.13 ,,,,,,,,,KCUB
CUB,Eagle Aviation CUB,Columbia,SC,803-771-7915,,, 1001 - 2000,$4.93 , 1001 - 2000,$4.93 ,,,,,,,,,KCUB
CUB,Eagle Aviation CUB,Columbia,SC,803-771-7915,,,2001+,$4.73 ,2001+,$4.73 ,,,,,,,,,KCUB
CVC,City of Covington,Oxford,GA,770-787-0098,,, 1 - 249,$4.88 , 1 - 249,$4.88 ,1+,$0.00 ,,,1+,$0.00 ,,,KCVC
CVC,City of Covington,Oxford,GA,770-787-0098,,, 250 - 499,$4.80 , 250 - 499,$4.80 ,,,,,,,,,KCVC
CVC,City of Covington,Oxford,GA,770-787-0098,,,500+,$4.70 ,500+,$4.70 ,,,,,,,,,KCVC
CVG,Premier Jet Services CVG,Hebron,KY,859-905-3022,,, 1 - 299,$5.76 , 1 - 299,$5.76 ,1+,$0.00 ,,,1+,$0.00 ,,,KCVG
CVG,Premier Jet Services CVG,Hebron,KY,859-905-3022,,, 300 - 499,$5.45 , 300 - 499,$5.45 ,,,,,,,,,KCVG
CVG,Premier Jet Services CVG,Hebron,KY,859-905-3022,,, 500 - 1199,$5.13 , 500 - 1199,$5.13 ,,,,,,,,,KCVG
CVG,Premier Jet Services CVG,Hebron,KY,859-905-3022,,, 1200 - 2499,$4.81 , 1200 - 2499,$4.81 ,,,,,,,,,KCVG
CVG,Premier Jet Services CVG,Hebron,KY,859-905-3022,,,2500+,$4.49 ,2500+,$4.49 ,,,,,,,,,KCVG
CWI,Clinton Municipal Airport,Clinton,IA,563-242-3292,,, 1 - 1000,$5.07 , 1 - 1000,$5.07 ,,,,,,,,,KCWI
CWI,Clinton Municipal Airport,Clinton,IA,563-242-3292,,,1001+,$4.99 ,1001+,$4.99 ,,,,,,,,,KCWI
CXP,Mountain West CXP,Carson City,NV,530-582-1717,,, 1 - 249,$5.97 , 1 - 249,$5.87 ,,,,,,,,,KCXP
CXP,Mountain West CXP,Carson City,NV,530-582-1717,,, 250 - 499,$5.89 , 250 - 499,$5.79 ,,,,,,,,,KCXP
CXP,Mountain West CXP,Carson City,NV,530-582-1717,,, 500 - 999,$5.64 , 500 - 999,$5.54 ,,,,,,,,,KCXP
CXP,Mountain West CXP,Carson City,NV,530-582-1717,,,1000+,$5.14 ,1000+,$5.04 ,,,,,,,,,KCXP
CZL,Calhoun Gordon County Airport,Calhoun,GA,706-602-8000,,,All Quantities,$4.83 ,All Quantities,$4.83 ,1+,$0.00 ,,,1+,$0.00 ,,,KCZL
DAB,ATP Jet Center,Daytona Beach,FL,386-385-8880,,,1+,$4.05 ,1+,$4.05 ,,,,,,,,,KDAB
DAL,Atlantic DAL,Dallas,TX,945-348-3090,,, 0 - 200,$4.86 , 0 - 200,$4.71 ,,,,,,,,,KDAL
DAL,Atlantic DAL,Dallas,TX,945-348-3090,,, 201 - 400,$4.78 , 201 - 400,$4.63 ,,,,,,,,,KDAL
DAL,Atlantic DAL,Dallas,TX,945-348-3090,,, 401 - 600,$4.70 , 401 - 600,$4.55 ,,,,,,,,,KDAL
DAL,Atlantic DAL,Dallas,TX,945-348-3090,,, 601 - 800,$4.60 , 601 - 800,$4.45 ,,,,,,,,,KDAL
DAL,Atlantic DAL,Dallas,TX,945-348-3090,,, 801 - 1000,$4.51 , 801 - 1000,$4.36 ,,,,,,,,,KDAL
DAL,Atlantic DAL,Dallas,TX,945-348-3090,,, 1001 - 2500,$4.42 , 1001 - 2500,$4.27 ,,,,,,,,,KDAL
DAL,Atlantic DAL,Dallas,TX,945-348-3090,,, 2501 - 5000,$4.16 , 2501 - 5000,$4.01 ,,,,,,,,,KDAL
DAL,Atlantic DAL,Dallas,TX,945-348-3090,,,5001+,$3.89 ,5001+,$3.74 ,,,,,,,,,KDAL
DAL,Business Jet Center,Dallas,TX,214-654-1600,,, 1 - 500,$4.47 , 1 - 500,$4.47 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KDAL
DAL,Business Jet Center,Dallas,TX,214-654-1600,,, 501 - 1000,$4.29 , 501 - 1000,$4.29 ,,,,,,,,,KDAL
DAL,Business Jet Center,Dallas,TX,214-654-1600,,, 1001 - 1500,$4.12 , 1001 - 1500,$4.12 ,,,,,,,,,KDAL
DAL,Business Jet Center,Dallas,TX,214-654-1600,,,1501+,$4.00 ,1501+,$4.00 ,,,,,,,,,KDAL
DAL,Jet Aviation DAL,Dallas,TX,214-350-8523,,, 1 - 500,$4.55 , 1 - 500,$4.49 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KDAL
DAL,Jet Aviation DAL,Dallas,TX,214-350-8523,,, 501 - 1000,$4.22 , 501 - 1000,$4.16 ,,,,,,,,,KDAL
DAL,Jet Aviation DAL,Dallas,TX,214-350-8523,,, 1001 - 1999,$4.12 , 1001 - 1999,$4.06 ,,,,,,,,,KDAL
DAL,Jet Aviation DAL,Dallas,TX,214-350-8523,,,2000+,$4.02 ,2000+,$3.96 ,,,,,,,,,KDAL
DAN,AU Aviation Services,Danville,VA,434-791-5750,,, 1 - 249,$5.89 , 1 - 249,$5.89 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KDAN
DAN,AU Aviation Services,Danville,VA,434-791-5750,,, 250 - 499,$5.79 , 250 - 499,$5.79 ,,,,,,,,,KDAN
DAN,AU Aviation Services,Danville,VA,434-791-5750,,, 500 - 999,$5.69 , 500 - 999,$5.69 ,,,,,,,,,KDAN
DAN,AU Aviation Services,Danville,VA,434-791-5750,,,1000+,$5.59 ,1000+,$5.59 ,,,,,,,,,KDAN
DAY,Premier Jet Services DAY,Vandalia,OH,248-454-3451,,, 1 - 199,$4.67 , 1 - 199,$4.52 ,,,,,,,,,KDAY
DAY,Premier Jet Services DAY,Vandalia,OH,248-454-3451,,, 200 - 499,$4.43 , 200 - 499,$4.28 ,,,,,,,,,KDAY
DAY,Premier Jet Services DAY,Vandalia,OH,248-454-3451,,, 500 - 999,$4.32 , 500 - 999,$4.17 ,,,,,,,,,KDAY
DAY,Premier Jet Services DAY,Vandalia,OH,248-454-3451,,, 1000 - 1999,$4.21 , 1000 - 1999,$4.06 ,,,,,,,,,KDAY
DAY,Premier Jet Services DAY,Vandalia,OH,248-454-3451,,,2000+,$4.10 ,2000+,$3.95 ,,,,,,,,,KDAY
DAY,Wright Brothers Aero Inc,Vandalia,OH,937-890-8900,,, 1 - 250,$4.40 , 1 - 250,$4.35 ,,,,,,,,,KDAY
DAY,Wright Brothers Aero Inc,Vandalia,OH,937-890-8900,,, 251 - 600,$4.32 , 251 - 600,$4.26 ,,,,,,,,,KDAY
DAY,Wright Brothers Aero Inc,Vandalia,OH,937-890-8900,,,601+,$4.21 ,601+,$4.15 ,,,,,,,,,KDAY
DCU,Pryor Field Airport,Tanner,AL,256-355-5770,,, 1 - 350,$6.04 , 1 - 350,$6.04 ,1+,$0.00 ,,,1+,$0.00 ,,,KDCU
DCU,Pryor Field Airport,Tanner,AL,256-355-5770,,, 351 - 700,$5.90 , 351 - 700,$5.90 ,,,,,,,,,KDCU
DCU,Pryor Field Airport,Tanner,AL,256-355-5770,,, 701 - 1199,$5.75 , 701 - 1199,$5.75 ,,,,,,,,,KDCU
DCU,Pryor Field Airport,Tanner,AL,256-355-5770,,,1200+,$5.50 ,1200+,$5.50 ,,,,,,,,,KDCU
DDH,Vermont Airport Services LLC,Bennington,VT,518-470-9779,,,1+,$6.93 ,1+,$6.93 ,,,,,,,,,KDDH
DLS,Tacaero KDLS,Dalles Port,WA,541-288-6766,,,1+,$6.83 ,1+,$6.61 ,,,,,,,,,KDLS
DNN,Dalton Municipal Airport,Dalton,GA,706-259-2200,,,All Quantities,$5.19 ,All Quantities,$5.19 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KDNN
DSM,Modern Aviation DSM,Des Moines,IA,806-318-4403,,,1+,$4.72 ,1+,$4.57 ,,,,,,,,,KDSM
DTS,Atlantic DTS,Destin,FL,850-424-6890,,, 0 - 100,$7.84 , 0 - 100,$7.69 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KDTS
DTS,Atlantic DTS,Destin,FL,850-424-6890,,, 101 - 200,$7.77 , 101 - 200,$7.62 ,,,,,,,,,KDTS
DTS,Atlantic DTS,Destin,FL,850-424-6890,,, 201 - 300,$7.70 , 201 - 300,$7.55 ,,,,,,,,,KDTS
DTS,Atlantic DTS,Destin,FL,850-424-6890,,, 301 - 400,$7.63 , 301 - 400,$7.48 ,,,,,,,,,KDTS
DTS,Atlantic DTS,Destin,FL,850-424-6890,,, 401 - 500,$7.56 , 401 - 500,$7.41 ,,,,,,,,,KDTS
DTS,Atlantic DTS,Destin,FL,850-424-6890,,,501+,$7.49 ,501+,$7.34 ,,,,,,,,,KDTS
DUA,City of Durant,Durant,OK,580-920-0574,,,1+,$4.80 ,1+,$4.80 ,,,,,,,,,KDUA
DVN,Jet Air Inc DVN,Galesburg,IL,309-342-3134,,, 1 - 99,$4.84 , 1 - 99,$4.84 ,,,,,,,,,KDVN
DVN,Jet Air Inc DVN,Galesburg,IL,309-342-3134,,, 100 - 249,$4.81 , 100 - 249,$4.81 ,,,,,,,,,KDVN
DVN,Jet Air Inc DVN,Galesburg,IL,309-342-3134,,, 250 - 499,$4.66 , 250 - 499,$4.66 ,,,,,,,,,KDVN
DVN,Jet Air Inc DVN,Galesburg,IL,309-342-3134,,, 500 - 749,$4.61 , 500 - 749,$4.61 ,,,,,,,,,KDVN
DVN,Jet Air Inc DVN,Galesburg,IL,309-342-3134,,, 750 - 999,$4.56 , 750 - 999,$4.56 ,,,,,,,,,KDVN
DVN,Jet Air Inc DVN,Galesburg,IL,309-342-3134,,,1000+,$4.51 ,1000+,$4.51 ,,,,,,,,,KDVN
DVO,CB Skyshare,Novato,CA,415-897-2403,,,All Quantities,$5.78 ,All Quantities,$5.73 ,,,,,,,,,KDVO
DVT,Cutter Aviation DVT,Phoenix,AZ,623-581-1444,,, 1 - 300,$5.54 , 1 - 300,$5.54 ,,,,,,,,,KDVT
DVT,Cutter Aviation DVT,Phoenix,AZ,623-581-1444,,, 301 - 500,$5.50 , 301 - 500,$5.50 ,,,,,,,,,KDVT
DVT,Cutter Aviation DVT,Phoenix,AZ,623-581-1444,,, 501 - 999,$5.47 , 501 - 999,$5.47 ,,,,,,,,,KDVT
DVT,Cutter Aviation DVT,Phoenix,AZ,623-581-1444,,,1000+,$5.36 ,1000+,$5.36 ,,,,,,,,,KDVT
DWH,Gill Aviation,Spring,TX,281-376-5436,,, 0 - 300,$4.57 , 0 - 300,$4.52 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KDWH
DWH,Gill Aviation,Spring,TX,281-376-5436,,, 301 - 500,$4.52 , 301 - 500,$4.47 ,,,,,,,,,KDWH
DWH,Gill Aviation,Spring,TX,281-376-5436,,, 501 - 1000,$4.47 , 501 - 1000,$4.42 ,,,,,,,,,KDWH
DWH,Gill Aviation,Spring,TX,281-376-5436,,,1001+,$4.42 ,1001+,$4.37 ,,,,,,,,,KDWH
DXR,Business Aircraft Center Inc,Danbury,CT,203-748-7000,,,1+,$4.39 ,1+,$4.39 ,,,,,,,,,KDXR
DYB,Summerville Airport,Summerville,SC,843-996-6919,,,1+,$5.41 ,1+,$5.41 ,1+,$0.00 ,,,1+,$0.00 ,,,KDYB
DZB,Horseshoe Bay Resort Jet Center,Horseshoe Bay,TX,830-598-6386,,, 1 - 500,$5.51 , 1 - 500,$5.51 ,,,,,,,,,KDZB
DZB,Horseshoe Bay Resort Jet Center,Horseshoe Bay,TX,830-598-6386,,, 501 - 1000,$5.42 , 501 - 1000,$5.42 ,,,,,,,,,KDZB
DZB,Horseshoe Bay Resort Jet Center,Horseshoe Bay,TX,830-598-6386,,,1001+,$5.27 ,1001+,$5.27 ,,,,,,,,,KDZB
E16,San Martin Aviation Corp,San Martin,CA,408-930-5041,,,All Quantities,$5.76 ,All Quantities,$5.76 ,,,,,,,,,KE16
EAU,Ascension Global Services EAU,Eau Claire,WI,715-835-3181,,, 0 - 300,$6.14 , 0 - 300,$5.99 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KEAU
EAU,Ascension Global Services EAU,Eau Claire,WI,715-835-3181,,, 301 - 400,$6.10 , 301 - 400,$5.95 ,,,,,,,,,KEAU
EAU,Ascension Global Services EAU,Eau Claire,WI,715-835-3181,,, 401 - 500,$6.05 , 401 - 500,$5.90 ,,,,,,,,,KEAU
EAU,Ascension Global Services EAU,Eau Claire,WI,715-835-3181,,, 501 - 600,$5.95 , 501 - 600,$5.80 ,,,,,,,,,KEAU
EAU,Ascension Global Services EAU,Eau Claire,WI,715-835-3181,,, 601 - 700,$5.75 , 601 - 700,$5.60 ,,,,,,,,,KEAU
EAU,Ascension Global Services EAU,Eau Claire,WI,715-835-3181,,, 701 - 800,$5.60 , 701 - 800,$5.45 ,,,,,,,,,KEAU
EAU,Ascension Global Services EAU,Eau Claire,WI,715-835-3181,,, 801 - 1000,$5.35 , 801 - 1000,$5.20 ,,,,,,,,,KEAU
EAU,Ascension Global Services EAU,Eau Claire,WI,715-835-3181,,,1001+,$5.10 ,1001+,$4.95 ,,,,,,,,,KEAU
EBG,City of Edinburg,Edinburg,TX,956-292-2047,,,All Quantities,$5.40 ,All Quantities,$5.40 ,,,,,,,,,KEBG
ECG,Elizabeth City Airport,Elizabeth City,NC,252-335-5634,,,All Quantities,$4.93 ,All Quantities,$4.93 ,1+,$0.00 ,,,1+,$0.00 ,,,KECG
ECP,Southern Sky Aviation KECP LLC,Panama City,FL,205-703-9737,,, 1 - 249,$5.23 , 1 - 249,$5.14 ,1+,$0.00 ,,,1+,$0.00 ,,,KECP
ECP,Southern Sky Aviation KECP LLC,Panama City,FL,205-703-9737,,, 250 - 499,$5.22 , 250 - 499,$5.13 ,,,,,,,,,KECP
ECP,Southern Sky Aviation KECP LLC,Panama City,FL,205-703-9737,,, 500 - 749,$5.20 , 500 - 749,$5.11 ,,,,,,,,,KECP
ECP,Southern Sky Aviation KECP LLC,Panama City,FL,205-703-9737,,, 750 - 999,$5.18 , 750 - 999,$5.09 ,,,,,,,,,KECP
ECP,Southern Sky Aviation KECP LLC,Panama City,FL,205-703-9737,,,1000+,$4.99 ,1000+,$4.90 ,,,,,,,,,KECP
EEN,Monadnock Aviation Inc,Keene,NH,603-357-7600,,, 1 - 400,$6.18 , 1 - 400,$6.18 ,,,,,,,,,KEEN
EEN,Monadnock Aviation Inc,Keene,NH,603-357-7600,,, 401 - 1000,$5.98 , 401 - 1000,$5.98 ,,,,,,,,,KEEN
EEN,Monadnock Aviation Inc,Keene,NH,603-357-7600,,,1001+,$5.78 ,1001+,$5.78 ,,,,,,,,,KEEN
EFK,Lakeview Aviation,Newport ,VT,802-334-5001,,, 1 - 300,$6.73 , 1 - 300,$6.73 ,,,,,,,,,KEFK
EFK,Lakeview Aviation,Newport ,VT,802-334-5001,,,301+,$6.68 ,301+,$6.68 ,,,,,,,,,KEFK
EFT,Touch & Go Aviation,Monroe,WI,608-329-7777,,,1+,$4.41 ,1+,$4.41 ,,,,,,,,,KEFT
EIS,Cayman Dispatch - B. V. I.,Tortola,,345-949-8960,,,1+,$6.18 ,1+,$6.18 ,,,,,,,,,TUPJ
EKO,Mountain West EKO,Elko,NV,530-582-1717,,, 1 - 200,$7.02 , 1 - 200,$6.92 ,,,,,,,,,KEKO
EKO,Mountain West EKO,Elko,NV,530-582-1717,,, 201 - 500,$6.97 , 201 - 500,$6.87 ,,,,,,,,,KEKO
EKO,Mountain West EKO,Elko,NV,530-582-1717,,, 501 - 1000,$6.92 , 501 - 1000,$6.82 ,,,,,,,,,KEKO
EKO,Mountain West EKO,Elko,NV,530-582-1717,,,1001+,$6.64 ,1001+,$6.54 ,,,,,,,,,KEKO
EKS,Ascension FBO Network - KEKS,Ennis,MT,307-587-9262,,, 0 - 300,$7.09 , 0 - 300,$6.94 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KEKS
EKS,Ascension FBO Network - KEKS,Ennis,MT,307-587-9262,,, 301 - 400,$7.05 , 301 - 400,$6.90 ,,,,,,,,,KEKS
EKS,Ascension FBO Network - KEKS,Ennis,MT,307-587-9262,,, 401 - 500,$7.00 , 401 - 500,$6.85 ,,,,,,,,,KEKS
EKS,Ascension FBO Network - KEKS,Ennis,MT,307-587-9262,,, 501 - 600,$6.90 , 501 - 600,$6.75 ,,,,,,,,,KEKS
EKS,Ascension FBO Network - KEKS,Ennis,MT,307-587-9262,,, 601 - 700,$6.70 , 601 - 700,$6.55 ,,,,,,,,,KEKS
EKS,Ascension FBO Network - KEKS,Ennis,MT,307-587-9262,,, 701 - 800,$6.55 , 701 - 800,$6.40 ,,,,,,,,,KEKS
EKS,Ascension FBO Network - KEKS,Ennis,MT,307-587-9262,,, 801 - 1000,$6.30 , 801 - 1000,$6.15 ,,,,,,,,,KEKS
EKS,Ascension FBO Network - KEKS,Ennis,MT,307-587-9262,,,1001+,$6.05 ,1001+,$5.90 ,,,,,,,,,KEKS
EKX,Elizabethtown Flying Service,Elizabethtown,KY,270-737-8388,,, 1 - 100,$6.72 , 1 - 100,$6.67 ,All Quantities,$0.00 ,,,All Quantities,$0.00 ,,,KEKX
EKX,Elizabethtown Flying Service,Elizabethtown,KY,270-737-8388,,, 101 - 200,$6.66 , 101 - 200,$6.61 ,,,,,,,,,KEKX
EKX,Elizabethtown Flying Service,Elizabethtown,KY,270-737-8388,,, 201 - 300,$6.56 , 201 - 300,$6.51 ,,,,,,,,,KEKX
EKX,Elizabethtown Flying Service,Elizabethtown,KY,270-737-8388,,, 301 - 400,$6.46 , 301 - 400,$6.41 ,,,,,,,,,KEKX
EKX,Elizabethtown Flying Service,Elizabethtown,KY,270-737-8388,,,401+,$6.36 ,401+,$6.31 ,,,,,,,,,KEKX
ELH,WHITE CROWN AVIATION,Spanish Wells,,252-633-0066,,,All Quantities,$7.00 ,All Quantities,$7.00 ,,,,,,,,,MYEH
ELM,Atlantic ELM,Horseheads,NY,945-348-3090,,, 0 - 200,$5.40 , 0 - 200,$5.24 ,,,,,,,,,KELM
ELM,Atlantic ELM,Horseheads,NY,945-348-3090,,, 201 - 400,$5.37 , 201 - 400,$5.22 ,,,,,,,,,KELM
ELM,Atlantic ELM,Horseheads,NY,945-348-3090,,, 401 - 600,$5.33 , 401 - 600,$5.17 ,,,,,,,,,KELM
ELM,Atlantic ELM,Horseheads,NY,945-348-3090,,, 601 - 800,$5.28 , 601 - 800,$5.12 ,,,,,,,,,KELM
ELM,Atlantic ELM,Horseheads,NY,945-348-3090,,, 801 - 1000,$5.24 , 801 - 1000,$5.08 ,,,,,,,,,KELM
ELM,Atlantic ELM,Horseheads,NY,945-348-3090,,,1001+,$5.18 ,1001+,$5.03 ,,,,,,,,,KELM
ELP,Atlantic ELP,El Paso,TX,945-348-3090,,, 0 - 100,$6.91 , 0 - 100,$6.76 ,,,,,,,,,KELP
ELP,Atlantic ELP,El Paso,TX,945-348-3090,,, 101 - 200,$6.73 , 101 - 200,$6.58 ,,,,,,,,,KELP
ELP,Atlantic ELP,El Paso,TX,945-348-3090,,, 201 - 300,$6.55 , 201 - 300,$6.40 ,,,,,,,,,KELP
ELP,Atlantic ELP,El Paso,TX,945-348-3090,,, 301 - 400,$6.36 , 301 - 400,$6.21 ,,,,,,,,,KELP
ELP,Atlantic ELP,El Paso,TX,945-348-3090,,, 401 - 500,$6.18 , 401 - 500,$6.03 ,,,,,,,,,KELP
ELP,Atlantic ELP,El Paso,TX,945-348-3090,,, 501 - 2500,$6.00 , 501 - 2500,$5.85 ,,,,,,,,,KELP
ELP,Atlantic ELP,El Paso,TX,945-348-3090,,, 2501 - 5000,$5.35 , 2501 - 5000,$5.20 ,,,,,,,,,KELP
ELP,Atlantic ELP,El Paso,TX,945-348-3090,,, 5001 - 7500,$4.70 , 5001 - 7500,$4.55 ,,,,,,,,,KELP
ELP,Atlantic ELP,El Paso,TX,945-348-3090,,,7501+,$4.05 ,7501+,$3.90 ,,,,,,,,,KELP
ENW,Steins Aircraft Service ENW,Kenosha,WI,262-544-2031,,, 1 - 1000,$4.11 , 1 - 1000,$4.11 ,,,,,,,,,KENW
ENW,Steins Aircraft Service ENW,Kenosha,WI,262-544-2031,,, 1001 - 2000,$4.08 , 1001 - 2000,$4.08 ,,,,,,,,,KENW
ENW,Steins Aircraft Service ENW,Kenosha,WI,262-544-2031,,,2001+,$4.03 ,2001+,$4.03 ,,,,,,,,,KENW
EQY,Charlotte-Monroe Executive,Monroe,NC,704-226-2300,,, 0 - 299,$6.24 , 0 - 299,$6.24 ,1+,$0.00 ,,,1+,$0.00 ,,,KEQY
EQY,Charlotte-Monroe Executive,Monroe,NC,704-226-2300,,, 300 - 499,$6.15 , 300 - 499,$6.15 ,,,,,,,,,KEQY
EQY,Charlotte-Monroe Executive,Monroe,NC,704-226-2300,,, 500 - 999,$6.04 , 500 - 999,$6.04 ,,,,,,,,,KEQY
EQY,Charlotte-Monroe Executive,Monroe,NC,704-226-2300,,,1000+,$5.93 ,1000+,$5.93 ,,,,,,,,,KEQY
ERI,North Coast Air,Erie,PA,814-836-9220,,,1+,$5.52 ,1+,$5.52 ,,,,,,,,,KERI
ESN,Easton Jet Service Inc,Easton,MD,410-820-8770,,,All Quantities,$4.55 ,All Quantities,$4.55 ,1+,$0.00 ,,,1+,$0.00 ,,,KESN
ESN,Maryland Airlines,Easton,MD,410-822-8181,,,1+,$5.26 ,1+,$5.26 ,1+,$0.00 ,,,1+,$0.00 ,,,KESN
ESN,Trident Aircraft,Easton,MD,410-604-1333,,,All Quantities,$4.67 ,All Quantities,$4.67 ,1+,$0.00 ,,,1+,$0.00 ,,,KESN
ETB,West Bend Air Inc,West Bend,WI,262-334-5603,,, 1 - 300,$5.48 , 1 - 300,$5.43 ,,,,,,,,,KETB
ETB,West Bend Air Inc,West Bend,WI,262-334-5603,,, 301 - 500,$5.39 , 301 - 500,$5.34 ,,,,,,,,,KETB
ETB,West Bend Air Inc,West Bend,WI,262-334-5603,,, 501 - 1000,$5.32 , 501 - 1000,$5.27 ,,,,,,,,,KETB
ETB,West Bend Air Inc,West Bend,WI,262-334-5603,,,1001+,$5.19 ,1001+,$5.14 ,,,,,,,,,KETB
EUG,Atlantic EUG,Eugene,OR,945-348-3090,,, 0 - 200,$7.49 , 0 - 200,$7.34 ,,,,,,,,,KEUG
EUG,Atlantic EUG,Eugene,OR,945-348-3090,,, 201 - 400,$7.40 , 201 - 400,$7.25 ,,,,,,,,,KEUG
EUG,Atlantic EUG,Eugene,OR,945-348-3090,,, 401 - 600,$7.31 , 401 - 600,$7.16 ,,,,,,,,,KEUG
EUG,Atlantic EUG,Eugene,OR,945-348-3090,,, 601 - 800,$7.21 , 601 - 800,$7.06 ,,,,,,,,,KEUG
EUG,Atlantic EUG,Eugene,OR,945-348-3090,,, 801 - 1000,$7.11 , 801 - 1000,$6.96 ,,,,,,,,,KEUG
EUG,Atlantic EUG,Eugene,OR,945-348-3090,,,1001+,$7.00 ,1001+,$6.85 ,,,,,,,,,KEUG
EUL,Qmulus Aviation LLC,Caldwell,ID,208-800-7527,,,All Quantities,$5.67 ,All Quantities,$5.67 ,,,,,,,,,KEUL
EWB,Nor East Aviation,New Bedford,MA,508-996-1832,,, 1 - 500,$4.95 , 1 - 500,$4.90 ,,,,,,,,,KEWB
EWB,Nor East Aviation,New Bedford,MA,508-996-1832,,, 501 - 1000,$4.71 , 501 - 1000,$4.66 ,,,,,,,,,KEWB
EWB,Nor East Aviation,New Bedford,MA,508-996-1832,,,1001+,$4.61 ,1001+,$4.56 ,,,,,,,,,KEWB
EWN,Tidewater Air Services,New Bern ,NC,252-633-1400,,,1+,$5.45 ,1+,$5.45 ,1+,$2.43 ,,,1+,$5.64 ,1+,$5.64 ,KEWN
EXX,Fly High Lexington LLC,Lexington,NC,336-956-7774,,,1+,$4.46 ,1+,$4.46 ,1+,$0.00 ,,,1+,$0.00 ,,,KEXX
EZF,Shannon Airport,Fredericksburg,VA,540-373-4431,,,1+,$5.97 ,1+,$5.97 ,1+,$0.00 ,,,1+,$0.00 ,,,KEZF
F70,The Jet Center,Murrieta,CA,951-696-9344,,, 1 - 5999,$5.14 , 1 - 5999,$5.03 ,,,,,,,,,KF70
F70,The Jet Center,Murrieta,CA,951-696-9344,,, 6000 - 8000,$5.10 , 6000 - 8000,$4.99 ,,,,,,,,,KF70
F70,The Jet Center,Murrieta,CA,951-696-9344,,, 8001 - 10000,$5.05 , 8001 - 10000,$4.94 ,,,,,,,,,KF70
F70,The Jet Center,Murrieta,CA,951-696-9344,,, 10001 - 12000,$5.00 , 10001 - 12000,$4.89 ,,,,,,,,,KF70
F70,The Jet Center,Murrieta,CA,951-696-9344,,, 12001 - 20000,$4.95 , 12001 - 20000,$4.84 ,,,,,,,,,KF70
F70,The Jet Center,Murrieta,CA,951-696-9344,,,20001+,$4.80 ,20001+,$4.69 ,,,,,,,,,KF70
FAI,FBO Fairbanks,Fairbanks,AK,907-450-2714,,, 1 - 1500,$5.05 , 1 - 1500,$4.95 ,,,,,,,,,PAFA
FAI,FBO Fairbanks,Fairbanks,AK,907-450-2714,,, 1501 - 2500,$4.81 , 1501 - 2500,$4.71 ,,,,,,,,,PAFA
FAI,FBO Fairbanks,Fairbanks,AK,907-450-2714,,, 2501 - 6000,$4.71 , 2501 - 6000,$4.61 ,,,,,,,,,PAFA
FAI,FBO Fairbanks,Fairbanks,AK,907-450-2714,,, 6001 - 9999,$4.61 , 6001 - 9999,$4.51 ,,,,,,,,,PAFA
FAI,FBO Fairbanks,Fairbanks,AK,907-450-2714,,,10000+,$4.46 ,10000+,$4.36 ,,,,,,,,,PAFA
FAM,City of Farmington,Farmington,MO,573-756-4502,,,All Quantities,$3.96 ,All Quantities,$3.96 ,1+,$0.00 ,,,1+,$0.00 ,,,KFAM
FAR,Fargo Aircraft Services,Fargo,ND,701-610-1094,,, 1 - 250,$4.21 , 1 - 250,$4.21 ,1+,$0.00 ,,,1+,$0.00 ,,,KFAR
FAR,Fargo Aircraft Services,Fargo,ND,701-610-1094,,, 251 - 500,$4.12 , 251 - 500,$4.12 ,,,,,,,,,KFAR
FAR,Fargo Aircraft Services,Fargo,ND,701-610-1094,,, 501 - 1000,$4.02 , 501 - 1000,$4.02 ,,,,,,,,,KFAR
